rhohat,rhoerror,minx,rhohatN,rhoerrorN,I,Iinf
NaN,0,0,Inf,3.71286892986422,Inf,1
NaN,0,0,Inf,1.32357689619052,Inf,1
NaN,-0,0,Inf,-4.70151942620227,Inf,1
6.2016457465179,3.70164574651518,0.00110342689613881,0.816186534846042,0.487166397205479,0.131608055056082,0
NaN,-0,0,Inf,-1.65846252305723,Inf,1
NaN,0,0,NaN,0.110059297009382,Inf,1
NaN,-0,0,NaN,-2.23659324985418,Inf,1
NaN,-0,0,Inf,-3.26416484371444,Inf,1
NaN,0,0,NaN,12.6802070874291,Inf,1
NaN,0,0,Inf,1.49973784189701,Inf,1
5.7438228747614,3.2438228747614,0.00611197974426223,0.682612998519039,0.385505560927923,0.118842975036446,0
9.83495407805264,7.33495407805396,0.0513379925596002,0.371919828559666,0.277379522217659,0.0378161225368231,0
2.47628211902669,-0.0237178809736342,0.000580732977803068,1.22402510477807,-0.0117237375825648,0.49429953694419,0
3.04581011581865,0.545810115820008,0.00112427259367995,0.740481911840489,0.132694587875071,0.243114929586299,0
NaN,-0,0,Inf,-5.26488838814903,Inf,1
NaN,0,0,NaN,0.33440871511245,Inf,1
NaN,0,0,NaN,0.802119754478391,Inf,1
NaN,-0,0,Inf,-8.28762936969908,Inf,1
11.2375322705473,8.73753227053678,0.0208544101580932,0.655736908736871,0.509855924159355,0.0583523938307621,0
NaN,0,0,NaN,3.28727539979028,Inf,1
3.66403653379989,1.16403653379779,0.0128975382368026,0.559404290595001,0.177718487632137,0.152674321185017,0
4.29135769317379,1.79135769317659,0.00377643197528978,0.407089386282772,0.169932864158161,0.0948626088499508,0
NaN,0,0,NaN,9.54121966570872,Inf,1
NaN,0,0,NaN,1.99141600492136,Inf,1
NaN,0,0,NaN,0.898602471719448,Inf,1
